2023-06-19 17:04:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2b44d6d0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3e900e1a, org.springframework.security.web.context.SecurityContextPersistenceFilter@611b35d6, org.springframework.security.web.header.HeaderWriterFilter@bb25753, org.springframework.security.web.csrf.CsrfFilter@77b3752b, org.springframework.security.web.authentication.logout.LogoutFilter@35650279, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2a4f8009, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@52ca2652, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@196624bf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@32a4ecbe, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@543d5863, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35dece42, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@50085d9c, org.springframework.security.web.session.SessionManagementFilter@40c06358, org.springframework.security.web.access.ExceptionTranslationFilter@2c0c4c0a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d42404e]
2023-06-19 17:04:35 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:04:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-19 17:04:35 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:04:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 17:04:35 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:04:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 17:04:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 17:04:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 17:04:36 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 3.732 seconds (JVM running for 4.052)
